,name,Status,"Population
Census
1987-05-25","Population
Estimate
1995-12-31","Population
Estimate
2001-12-31","Population
Census
2011-05-09","Population
Estimate
2014-12-31",Change2001-2011
93,Landshut,County,115644,133531,144504,147161,151819,2657
94,Landshut Stadt,City with County Rights,56446,59219,59513,63544,67509,4031
95,Lichtenfels,County,65602,70512,70874,67297,66540,-3577
96,Lindau (Bodensee),County,69522,75796,77850,78420,79387,570
97,Main-Spessart,County,122047,131445,132206,127508,125915,-4698
98,Memmingen,City with County Rights,38127,40591,41101,41241,42201,140
99,Miesbach,County,80840,88640,92720,93630,96773,910
100,Miltenberg,County,114255,128261,131369,128406,127941,-2963
101,Mühldorf am Inn,County,92882,105793,109733,106414,110296,-3319
102,München,County,249784,279007,299883,317248,332800,17365
103,München Stadt,City with County Rights,1185421,1236370,1227958,1348335,1429584,120377
104,Neuburg-Schrobenhausen,County,76493,85997,90224,90593,93505,369
105,Neumarkt in der Oberpfalz,County,105346,120519,127312,126436,128975,-876
106,Neustadt an der Aisch-Bad Windsheim,County,85686,95063,99156,97475,97808,-1681
107,Neustadt an der Waldnaab,County,91792,99620,101043,96316,95184,-4727
108,Neu-Ulm,County,140666,157240,161110,163854,167847,2744
109,Nürnberg,City with County Rights,470943,492425,491307,486314,501072,-4993
110,Nürnberger Land,County,149127,166156,168693,163967,165918,-4726
111,Oberallgäu,County,128665,144637,148315,148650,150981,335
112,Ostallgäu,County,114547,127068,132389,133586,135894,1197
113,Passau,County,162355,182041,187355,184190,186284,-3165
114,Passau Stadt,City with County Rights,48516,50885,50669,48649,49952,-2020
115,Pfaffenhofen an der Ilm,County,88449,105453,113111,116116,121594,3005
116,Regen,County,76688,82194,82721,76782,76265,-5939
117,Regensburg,County,144278,166215,178095,182289,187205,4194
118,Regensburg Stadt,City with County Rights,118639,125836,127198,135403,142292,8205
119,Rhön-Grabfeld,County,77197,86269,86717,80829,79676,-5888
120,Rosenheim,County,190104,224712,240106,244257,251850,4151
121,Rosenheim Stadt,City with County Rights,53155,58920,59310,59329,60889,19
122,Roth,County,103944,119572,124963,123344,123890,-1619
123,Rottal-Inn,County,104013,115281,119107,116634,118164,-2473
124,Schwabach,City with County Rights,33539,37639,38518,38469,39941,-49
125,Schwandorf,County,131260,139887,144370,142407,143614,-1963
126,Schweinfurt,County,103697,113858,116874,113084,113747,-3790
127,Schweinfurt Stadt,City with County Rights,51962,55722,54568,52143,51610,-2425
128,Starnberg,County,108887,119523,126588,127133,131873,545
129,Straubing,City with County Rights,40093,44262,44316,44488,46027,172
130,Straubing-Bogen,County,81062,90923,96035,95852,97967,-183
131,Tirschenreuth,County,77865,80524,79804,74867,73250,-4937
132,Traunstein,County,145408,162876,168827,168509,171978,-318
133,Unterallgäu,County,115770,130166,134920,135161,138712,241
