,name,pop,
506,"Randolph, Georgia",7313,
507,"Richmond, Georgia",201368,
508,"Rockdale, Georgia",87754,
509,"Schley, Georgia",5163,
510,"Screven, Georgia",14085,
511,"Seminole, Georgia",8686,
512,"Spalding, Georgia",63988,
513,"Stephens, Georgia",25480,
514,"Stewart, Georgia",5744,
515,"Sumter, Georgia",31232,
516,"Talbot, Georgia",6390,
517,"Taliaferro, Georgia",1693,
518,"Tattnall, Georgia",25224,
519,"Taylor, Georgia",8442,
520,"Telfair, Georgia",16518,
521,"Terrell, Georgia",9132,
522,"Thomas, Georgia",44959,
523,"Tift, Georgia",40704,
524,"Toombs, Georgia",27282,
525,"Towns, Georgia",11098,
526,"Treutlen, Georgia",6778,
527,"Troup, Georgia",69469,
528,"Turner, Georgia",8153,
529,"Twiggs, Georgia",8320,
530,"Union, Georgia",21984,
531,"Upson, Georgia",26256,
532,"Walker, Georgia",68218,
533,"Walton, Georgia",87615,
534,"Ware, Georgia",35515,
535,"Warren, Georgia",5520,
536,"Washington, Georgia",20635,
537,"Wayne, Georgia",29949,
538,"Webster, Georgia",2649,
539,"Wheeler, Georgia",7995,
540,"White, Georgia",27970,
541,"Whitfield, Georgia",103542,
542,"Wilcox, Georgia",8847,
543,"Wilkes, Georgia",9940,
544,"Wilkinson, Georgia",9326,
545,"Worth, Georgia",20940,
546,"Hawaii, Hawaii",194190,
547,"Honolulu, Hawaii",991788,
548,"Kalawao, Hawaii",89,
549,"Kauai, Hawaii",70475,
550,"Maui, Hawaii",163019,
551,"Ada, Idaho",426236,
552,"Adams, Idaho",3861,
553,"Bannock, Idaho",83347,
554,"Bear Lake, Idaho",5957,
555,"Benewah, Idaho",9118,
556,"Bingham, Idaho",45269,
557,"Blaine, Idaho",21482,
558,"Boise, Idaho",6824,
559,"Bonner, Idaho",41585,
560,"Bonneville, Idaho",108623,
561,"Boundary, Idaho",10979,
562,"Butte, Idaho",2622,
563,"Camas, Idaho",1039,
564,"Canyon, Idaho",203143,
565,"Caribou, Idaho",6837,
566,"Cassia, Idaho",23540,
567,"Clark, Idaho",867,
568,"Clearwater, Idaho",8562,
569,"Custer, Idaho",4140,
570,"Elmore, Idaho",26094,
571,"Franklin, Idaho",13021,
572,"Fremont, Idaho",12867,
573,"Gem, Idaho",16866,
574,"Gooding, Idaho",15064,
575,"Idaho, Idaho",16215,
576,"Jefferson, Idaho",27021,
577,"Jerome, Idaho",22818,
578,"Kootenai, Idaho",147326,
579,"Latah, Idaho",38411,
580,"Lemhi, Idaho",7726,
581,"Lewis, Idaho",3838,
582,"Lincoln, Idaho",5316,
583,"Madison, Idaho",38038,
584,"Minidoka, Idaho",20323,
585,"Nez Perce, Idaho",40007,
586,"Oneida, Idaho",4184,
587,"Owyhee, Idaho",11353,
588,"Payette, Idaho",22836,
589,"Power, Idaho",7617,
590,"Shoshone, Idaho",12390,
591,"Teton, Idaho",10341,
592,"Twin Falls, Idaho",80914,
593,"Valley, Idaho",9826,
594,"Washington, Idaho",10021,
595,"Adams, Illinois",66988,
596,"Alexander, Illinois",7492,
597,"Bond, Illinois",17269,
598,"Boone, Illinois",53869,
599,"Brown, Illinois",6832,
600,"Bureau, Illinois",33840,
601,"Calhoun, Illinois",4956,
602,"Carroll, Illinois",14715,
603,"Cass, Illinois",13156,
604,"Champaign, Illinois",207133,
605,"Christian, Illinois",33892,
606,"Clark, Illinois",16180,
607,"Clay, Illinois",13520,
608,"Clinton, Illinois",37857,
609,"Coles, Illinois",53320,
610,"Cook, Illinois",5246456,
611,"Crawford, Illinois",19393,
612,"Cumberland, Illinois",10833,
613,"DeKalb, Illinois",105462,
614,"De Witt, Illinois",16284,"Modified from De Witt (DeWitt), Illinois"
615,"Douglas, Illinois",19889,
616,"DuPage, Illinois",932708,
617,"Edgar, Illinois",17841,
618,"Edwards, Illinois",6617,
619,"Effingham, Illinois",34320,
620,"Fayette, Illinois",21870,
621,"Ford, Illinois",13688,
622,"Franklin, Illinois",39411,
623,"Fulton, Illinois",36007,
624,"Gallatin, Illinois",5291,
625,"Greene, Illinois",13434,
626,"Grundy, Illinois",50425,
627,"Hamilton, Illinois",8296,
628,"Hancock, Illinois",18564,
629,"Hardin, Illinois",4129,
630,"Henderson, Illinois",6916,
631,"Henry, Illinois",49635,
632,"Iroquois, Illinois",28879,
633,"Jackson, Illinois",59677,
