,lt_x,lt_y,rb_x,rb_y,target_norm
9015,18859377.9615,20456002.8553,19236169.0385,20455882.1447,9.15797165653e+11
9016,18859377.9615,20455992.8553,19236169.0385,20455872.1447,9.15797165653e+11
9017,18859347.9615,20456012.8553,19236139.0385,20455892.1447,9.15797165653e+11
9018,18901410.8584,20349692.701,19194116.1416,20562212.299,9.13280450882e+11
9019,18901360.8584,20349612.701,19194066.1416,20562132.299,9.13280450882e+11
9020,18901410.8584,20349612.701,19194116.1416,20562132.299,9.13280450882e+11
9021,18901440.8584,20349642.701,19194146.1416,20562162.299,9.13280450882e+11
9022,18901350.8584,20349592.701,19194056.1416,20562112.299,9.13280450882e+11
9023,18901390.8584,20349692.701,19194096.1416,20562212.299,9.13280450882e+11
9024,18901400.8584,20349682.701,19194106.1416,20562202.299,9.13280450882e+11
9025,18901370.8584,20349612.701,19194076.1416,20562132.299,9.13280450882e+11
9026,18901440.8584,20349652.701,19194146.1416,20562172.299,9.13280450882e+11
9027,18901440.8584,20349592.701,19194146.1416,20562112.299,9.13280450882e+11
9028,18901370.8584,20349602.701,19194076.1416,20562122.299,9.13280450882e+11
9029,18901400.8584,20349672.701,19194106.1416,20562192.299,9.13280450882e+11
9030,18901410.8584,20349642.701,19194116.1416,20562162.299,9.13280450882e+11
9031,18901380.8584,20349622.701,19194086.1416,20562142.299,9.13280450882e+11
9032,18901430.8584,20349602.701,19194136.1416,20562122.299,9.13280450882e+11
9033,18901380.8584,20349662.701,19194086.1416,20562182.299,9.13280450882e+11
9034,18901440.8584,20349612.701,19194146.1416,20562132.299,9.13280450882e+11
9035,18901420.8584,20349692.701,19194126.1416,20562212.299,9.13280450882e+11
9036,18901400.8584,20349602.701,19194106.1416,20562122.299,9.13280450882e+11
9037,18901380.8584,20349592.701,19194086.1416,20562112.299,9.13280450882e+11
9038,18901400.8584,20349642.701,19194106.1416,20562162.299,9.13280450882e+11
9039,18901370.8584,20349642.701,19194076.1416,20562162.299,9.13280450882e+11
9040,18901400.8584,20349632.701,19194106.1416,20562152.299,9.13280450882e+11
9041,18901400.8584,20349692.701,19194106.1416,20562212.299,9.13280450882e+11
9042,18901430.8584,20349662.701,19194136.1416,20562182.299,9.13280450882e+11
9043,18901420.8584,20349682.701,19194126.1416,20562202.299,9.13280450882e+11
9044,18901440.8584,20349602.701,19194146.1416,20562122.299,9.13280450882e+11
9045,18901410.8584,20349652.701,19194116.1416,20562172.299,9.13280450882e+11
9046,18901410.8584,20349662.701,19194116.1416,20562182.299,9.13280450882e+11
9047,18901420.8584,20349622.701,19194126.1416,20562142.299,9.13280450882e+11
9048,18901440.8584,20349672.701,19194146.1416,20562192.299,9.13280450882e+11
9049,18901370.8584,20349592.701,19194076.1416,20562112.299,9.13280450882e+11
9050,18901430.8584,20349642.701,19194136.1416,20562162.299,9.13280450882e+11
9051,18901420.8584,20349662.701,19194126.1416,20562182.299,9.13280450882e+11
9052,18901420.8584,20349602.701,19194126.1416,20562122.299,9.13280450882e+11
9053,18901430.8584,20349622.701,19194136.1416,20562142.299,9.13280450882e+11
9054,18901420.8584,20349612.701,19194126.1416,20562132.299,9.13280450882e+11
9055,18901420.8584,20349592.701,19194126.1416,20562112.299,9.13280450882e+11
9056,18901390.8584,20349622.701,19194096.1416,20562142.299,9.13280450882e+11
9057,18901390.8584,20349642.701,19194096.1416,20562162.299,9.13280450882e+11
9058,18901360.8584,20349602.701,19194066.1416,20562122.299,9.13280450882e+11
9059,18901410.8584,20349622.701,19194116.1416,20562142.299,9.13280450882e+11
9060,18901380.8584,20349652.701,19194086.1416,20562172.299,9.13280450882e+11
9061,18901410.8584,20349682.701,19194116.1416,20562202.299,9.13280450882e+11
9062,18901430.8584,20349652.701,19194136.1416,20562172.299,9.13280450882e+11
9063,18901360.8584,20349622.701,19194066.1416,20562142.299,9.13280450882e+11
9064,18901360.8584,20349592.701,19194066.1416,20562112.299,9.13280450882e+11
9065,18901430.8584,20349632.701,19194136.1416,20562152.299,9.13280450882e+11
9066,18901380.8584,20349602.701,19194086.1416,20562122.299,9.13280450882e+11
9067,18901410.8584,20349632.701,19194116.1416,20562152.299,9.13280450882e+11
9068,18901370.8584,20349632.701,19194076.1416,20562152.299,9.13280450882e+11
9069,18901390.8584,20349612.701,19194096.1416,20562132.299,9.13280450882e+11
9070,18901410.8584,20349602.701,19194116.1416,20562122.299,9.13280450882e+11
