,name,pop,lat,lon,
483,Imst,46833,47.2381536,10.7406982,
484,Innsbruck-Land,141334,47.2065094,11.38369459,
485,Innsbruck-Stadt,118112,47.2655707,11.3934374,
486,Kitzbühel,54127,47.4463585,12.3911473,
487,Kufstein,84627,47.582996,12.1692134,
488,Landeck,40207,47.1424135,10.5704571,
489,Lienz,48338,48.3059078,14.286198,
490,Reutte,29140,47.4891092,10.7187955,
491,Schwaz,68692,47.3449529,11.7084253,
492,Bludenz,56944,47.153037,9.8219314,
493,Bregenz,115500,47.5008652,9.7479477,
494,Dornbirn,72750,47.4135969,9.7423955,
495,Feldkirch,86278,47.2375671,9.5981724,
496,Alsergrund,40416,48.22494185,16.358415885,
497,Brigittenau,71876,48.2442356,16.3781463499,
498,Döbling,67377,48.2612506,16.3284710204,
499,Donaustadt,106589,48.2143607,16.4861263464,
500,Favoriten,147636,48.1529937,16.3828218365,
501,Floridsdorf,119415,48.27981505,16.4121345553,
502,Hernals,50944,48.23567325,16.2844383382,
503,Hietzing,54909,48.183,16.2939672,
504,Innere Stadt,18002,48.20885945,16.3697671434,
505,Josefstadt,23850,48.2108519,16.3473598619,
506,Landstraße,84336,48.19364355,16.3962863914,
507,Leopoldstadt,93542,48.2006384,16.4268953115,
508,Liesing,81853,48.14110605,16.2939118777,
509,Margareten,51521,48.18807345,16.3533860772,
510,Mariahilf,30298,48.1954789,16.347190332,
511,Meidling,79610,48.1719649,16.3286874076,
512,Neubau,30396,48.20208325,16.3490612031,
513,Ottakring,88933,48.2149566,16.3020868769,
514,Penzing,80820,48.22566175,16.2227901448,
515,Rudolfsheim-Fünfhaus,69309,48.195607,16.3264819411,
516,Simmering,67045,48.16310865,16.4580088051,
517,Währing,49761,48.23410535,16.321654225,
518,Wieden,31410,48.2083537,16.3725042,
