,name,pop,lat,lon,
314,"Сосковский район, Орловская область",5476,52.742656,35.3808814571,
315,"Свердловский район, Орловская область",15555,52.6761904,36.281565374,
316,"Троснянский район, Орловская область",9359,52.39670265,35.8058384817,
317,"Урицкий район, Орловская область",19052,53.0014128,35.6833784208,
318,"Верховский район, Орловская область",16042,52.7164603,37.2542683015,
319,"Залегощенский район, Орловская область",14331,52.90415,36.6906238292,
320,"Знаменский район, Орловская область",4586,53.3413193,35.603670885,
321,"Александро-Невский район, Рязанская область",11442,53.4668649,40.1842616896,
322,"Чучковский район, Рязанская область",7685,54.2957224,41.4763742298,
323,"Ермишинский район, Рязанская область",7788,54.7937958,42.1352264504,
324,"Кадомский район, Рязанская область",7736,54.51407685,42.3769514456,
325,"Касимов, Рязанская область",31494,54.9396919,41.3951798,
326,"Касимовский район, Рязанская область",27279,54.91625805,41.6588624916,
327,"Клепиковский район, Рязанская область",24641,55.0816095,40.4540306885,
328,"Кораблинский район, Рязанская область",22869,53.97308905,40.0359164101,
329,"Михайловский район, Рязанская область",33557,54.1730639,39.0746622657,
330,"Милославский район, Рязанская область",12763,53.5820298,39.3292511294,
331,"Пителинский район, Рязанская область",5324,54.6085612,41.7233811763,
332,"Пронский район, Рязанская область",30444,54.18329325,39.5528984095,
333,"Путятинский район, Рязанская область",7242,54.1124078,41.0609405721,
334,"г. Рязань, Рязанская область",532772,54.61887995,39.75892575,
335,"Рязанский район, Рязанская область",57512,54.6126214,40.0344010133,
336,"Ряжский район, Рязанская область",29343,53.6825372,40.1319733865,
337,"Рыбновский район, Рязанская область",36667,54.75304405,39.5274909227,
338,"Шацкий район, Рязанская область",22079,54.00718645,41.9218609553,
339,"Сапожковский район, Рязанская область",10432,53.97946325,40.62503446,
340,"Сараевский район, Рязанская область",16257,53.7192883,41.0327084642,
341,"г. Сасово, Рязанская область",26871,54.3773952,41.9551038133,
342,"Сасовский район, Рязанская область",17295,54.3132444,42.1119198854,
343,"Шиловский район, Рязанская область",39288,54.47784165,41.1857927894,
344,"г. Скопин, Рязанская область",28478,53.80770665,39.57083775,
345,"Скопинский район, Рязанская область",26109,53.80870495,39.1793989208,
346,"Спасский район, Рязанская область",26989,54.5079588,40.580998904,
347,"Старожиловский район, Рязанская область",17373,54.26552675,39.9256773714,
348,"Ухоловский район, Рязанская область",9062,53.74343565,40.5454267063,
349,"Захаровский район, Рязанская область",8647,54.4115611,39.2748097071,
350,"Хиславичский район, Смоленская область",8106,54.1186303,32.0955800984,
351,"Холм-Жирковский район, Смоленская область",9754,55.559779,33.2144872552,
352,"Демидовский район, Смоленская область",12310,55.4182513,31.6909634784,
353,"Десногорск, Смоленская область",28554,54.1429232,33.2844048675,
354,"Дорогобужский район, Смоленская область",27376,54.8478695,33.3234079995,
355,"Духовщинский район, Смоленская область",15484,55.38475995,32.3545111446,
356,"Гагаринский район, Смоленская область",45940,55.6283515,35.0054981928,
357,"Глинковский район, Смоленская область",4414,54.651665,32.7538152956,
358,"Ярцевский район, Смоленская область",54231,55.222218,32.8025376457,
359,"Ельнинский район, Смоленская область",13846,54.5275089,33.3509425583,
360,"Ершичский район, Смоленская область",6444,53.60464985,32.6898420162,
361,"Кардымовский район, Смоленская область",12499,54.8654355,32.4922986805,
362,"Краснинский район, Смоленская область",12264,54.557681,31.4646525631,
363,"Монастырщинский район, Смоленская область",9472,54.327496,31.7687352315,
364,"Новодугинский район, Смоленская область",9603,55.6167715,34.1261785269,
365,"Починковский район, Смоленская область",29851,54.36507,32.5314114013,
366,"Рославльский район, Смоленская область",71990,54.0413396,33.0399211264,
367,"Руднянский район, Смоленская область",23562,55.09245215,31.1224485395,
368,"Сафоновский район, Смоленская область",58803,55.20076805,33.430268725,
369,"г. Смоленск, Смоленская область",330049,54.8196642,32.0897894,
370,"Смоленский район, Смоленская область",53889,54.83988435,31.7194222409,
371,"Шумячский район, Смоленская область",9909,53.8994212,32.2079792763,
372,"Сычёвский район, Смоленская область",13807,55.8656995,34.1217937334,
373,"Тёмкинский район, Смоленская область",5971,55.1114887,34.9709682689,
374,"Угранский район, Смоленская область",8190,54.7904822,34.3736036179,
375,"Велижский район, Смоленская область",11114,55.5664972,31.2871581102,
376,"Вяземский район, Смоленская область",77359,55.1963662,34.3310981581,
377,"Бондарский район, Тамбовская область",11916,52.9759544,42.0387711796,
378,"Гавриловский район, Тамбовская область",10934,52.9419248,42.6830808767,
379,"Инжавинский район, Тамбовская область",20981,52.31343785,42.579093335,
380,"Кирсанов, Тамбовская область",17042,52.6547555,42.7249603,
381,"Кирсановский район, Тамбовская область",20295,52.67425345,42.5631673123,
382,"Котовск, Тамбовская область",31136,52.58947395,41.507169036,
383,"Мичуринск, Тамбовская область",95864,52.897,40.4789,
384,"Мичуринский район, Тамбовская область",33841,52.94633755,40.2705818765,
385,"Мордовский район, Тамбовская область",17433,52.1733605,40.8320199682,
386,"Моршанск, Тамбовская область",39583,53.4429,41.8131,
387,"Моршанский район, Тамбовская область",31294,53.50681085,41.7004247563,
388,"Мучкапский район, Тамбовская область",13868,51.839119,42.4690120762,
389,"Никифоровский район, Тамбовская область",18430,52.86200175,40.8935678928,
390,"Первомайский район, Тамбовская область",27643,53.20745975,40.3697617818,
391,"Петровский район, Тамбовская область",17444,52.56716895,40.3538985816,
392,"Пичаевский район, Тамбовская область",13405,53.21788355,42.1862189059,
393,"г. Рассказово, Тамбовская область",44760,52.653487,41.8731211,
394,"Рассказовский район, Тамбовская область",21347,52.61727505,41.8969361535,
395,"Ржаксинский район, Тамбовская область",16693,52.16662145,42.0216064098,
396,"Сампурский район, Тамбовская область",12852,52.24668745,41.6490041081,
397,"Сосновский район, Тамбовская область",29433,53.1876684,41.3576139181,
398,"Староюрьевский район, Тамбовская область",13275,53.3675811,40.7685271314,
399,"г. Тамбов, Тамбовская область",288895,52.72284605,41.3827706557,
400,"Тамбовский район, Тамбовская область",105225,52.79227545,41.4230788418,
401,"Токарёвский район, Тамбовская область",16702,51.99726925,41.1768902813,
402,"Умётский район, Тамбовская область",11022,52.61263425,43.0013698658,
403,"Уварово, Тамбовская область",24792,51.9898439,42.2583979,
404,"Уваровский район, Тамбовская область",10259,51.90288165,42.140368635,
405,"Жердевский район, Тамбовская область",28422,51.86269045,41.5911183878,
406,"Знаменский район, Тамбовская область",17635,52.38016965,41.2888474838,
407,"Алексинский район, Тульская область",68099,54.4745319,37.0887471451,
408,"Арсеньевский район, Тульская область",9937,53.62788915,36.6172767915,
409,"Белёвский район, Тульская область",20354,53.761018,36.1633658053,
410,"Богородицкий район, Тульская область",51533,53.71364315,38.1682242877,
411,"Чернский район, Тульская область",20194,53.45183965,36.821982747,
412,"Донской, Тульская область",64403,53.965651,38.3183367,
413,"Дубенский район, Тульская область",14664,54.14878495,36.9500687001,
414,"Ясногорский район, Тульская область",29975,54.581826,37.9186908623,
415,"Ефремовский район, Тульская область",59258,53.16620275,38.252338274,
416,"Каменский район, Тульская область",9099,53.24066445,37.7554033245,
417,"Кимовский район, Тульская область",39446,53.8398009,38.6778639072,
418,"Киреевский район, Тульская область",73843,54.02143105,37.8611383992,
419,"Куркинский район, Тульская область",10036,53.4675623,38.5346286498,
420,"Новогуровский, Тульская область",3480,54.4681505,37.3400978,
