,name,pop,
162,"Nánjīng Shì, Jiāngsū Shĕng",8003744,
163,"Nántōng Shì, Jiāngsū Shĕng",7283622,
164,"Sùqiān Shì, Jiāngsū Shĕng",4719178,
165,"Sūzhōu Shì, Jiāngsū Shĕng",10459890,
166,"Tàizhōu Shì, Jiāngsū Shĕng",4618937,
167,"Wúxī Shì, Jiāngsū Shĕng",6374399,
168,"Xúzhōu Shì, Jiāngsū Shĕng",8577225,
169,"Yánchéng Shì, Jiāngsū Shĕng",7262200,
170,"Yángzhōu Shì, Jiāngsū Shĕng",4460066,
171,"Zhènjiāng Shì, Jiāngsū Shĕng",3114105,
172,"Fŭzhōu Shì, Jiāngxī Shĕng",3912307,
173,"Gànzhōu Shì, Jiāngxī Shĕng",8368447,
174,"Jí'ān Shì, Jiāngxī Shĕng",4810339,
175,"Jĭngdézhèn Shì, Jiāngxī Shĕng",1587477,
176,"Jiŭjiāng Shì, Jiāngxī Shĕng",4728778,
177,"Nánchāng Shì, Jiāngxī Shĕng",5042566,
178,"Píngxiāng Shì, Jiāngxī Shĕng",1854515,
179,"Shàngráo Shì, Jiāngxī Shĕng",6579747,
180,"Xīnyú Shì, Jiāngxī Shĕng",1138874,
181,"Yíchūn Shì, Jiāngxī Shĕng",5419591,
182,"Yīngtán Shì, Jiāngxī Shĕng",1125156,
183,"Báichéng Shì, Jílín Shĕng",2032356,
184,"Báishān Shì, Jílín Shĕng",1296127,
185,"Chángchūn Shì, Jílín Shĕng",7674439,
186,"Jílín Shì, Jílín Shĕng",4413157,
187,"Liáoyuán Shì, Jílín Shĕng",1176239,
188,"Sìpíng Shì, Jílín Shĕng",3385156,
189,"Sōngyuán Shì, Jílín Shĕng",2880086,
190,"Tōnghuà Shì, Jílín Shĕng",2324439,
191,"Yánbiāncháo Xiānzú Zìzhìzhōu, Jílín Shĕng",2270816,atomawashi
192,"Ānshān Shì, Liáoníng Shĕng",3645884,
193,"Bĕnxī Shì, Liáoníng Shĕng",1709538,
194,"Cháoyáng Shì, Liáoníng Shĕng",3044641,
195,"Dàlián Shì, Liáoníng Shĕng",6690432,
196,"Dāndōng Shì, Liáoníng Shĕng",2444697,
197,"Fŭshùn Shì, Liáoníng Shĕng",2138090,
198,"Fùxīn Shì, Liáoníng Shĕng",1819339,
199,"Húlúdăo Shì, Liáoníng Shĕng",2623541,
200,"Jĭnzhōu Shì, Liáoníng Shĕng",3126463,
201,"Liáoyáng Shì, Liáoníng Shĕng",1858768,
202,"Pánjĭn Shì, Liáoníng Shĕng",1392493,
203,"Shĕnyáng Shì, Liáoníng Shĕng",8106171,
204,"Tiĕlĭng Shì, Liáoníng Shĕng",2717732,
205,"Yíngkŏu Shì, Liáoníng Shĕng",2428534,
206,"Ālāshàn Méng, Nèi mĕnggŭ Zìzhìqū",231334,"Ālāshàn Méng [Alxa], Nèi mĕnggŭ Zìzhìqū [Inner Mongolia]"
207,"Bāotóu Shì, Nèi mĕnggŭ Zìzhìqū",2650364,
208,"Bāyànnào'ĕr Shì, Nèi mĕnggŭ Zìzhìqū",1669915,
209,"Chìfēng Shì, Nèi mĕnggŭ Zìzhìqū",4341245,
210,"È'ĕrduōsī Shì, Nèi mĕnggŭ Zìzhìqū",1940653,atomawashi
211,"Hūhéhàotè Shì, Nèi mĕnggŭ Zìzhìqū",2866615,
212,"Hūlúnbèi'ĕr Shì, Nèi mĕnggŭ Zìzhìqū",2549252,
213,"Tōngliáo Shì, Nèi mĕnggŭ Zìzhìqū",3139153,
214,"Wūhăi Shì, Nèi mĕnggŭ Zìzhìqū",532902,
215,"Wūlánchábù Shì, Nèi mĕnggŭ Zìzhìqū",2143590,
216,"Xīlínguōlè Méng, Nèi mĕnggŭ Zìzhìqū",1028022,
217,"Xīng'ān Méng, Nèi mĕnggŭ Zìzhìqū",1613246,
218,"Gùyuán Shì, Níngxià Huízú Zìzhìqū",1228156,
219,"Shízuĭshān Shì, Níngxià Huízú Zìzhìqū",725482,
220,"Wúzhōng Shì, Níngxià Huízú Zìzhìqū",1273792,
221,"Yínchuān Shì, Níngxià Huízú Zìzhìqū",1993088,
222,"Zhōngwèi Shì, Níngxià Huízú Zìzhìqū",1080832,
223,"Guŏluò Zàngzú Zìzhìzhōu, Qīnghăi Shĕng",181682,atomawashi
224,"Hăibĕi Zàngzú Zìzhìzhōu, Qīnghăi Shĕng",273304,
225,"Hăidōng Shì, Qīnghăi Shĕng",1396845,"Hăidōng Shì [← Hăidōng Dìqū], Qīnghăi Shĕng"
226,"Hăinán Zàngzú Zìzhìzhōu, Qīnghăi Shĕng",441691,
227,"Hăixī Mĕnggŭzú Zàngzú Zìzhìzhōu, Qīnghăi Shĕng",489338,atomawashi
228,"Huángnán Zàngzú Zìzhìzhōu, Qīnghăi Shĕng",256716,
229,"Xīníng Shì, Qīnghăi Shĕng",2208708,
230,"Yùshù Zàngzú Zìzhìzhōu, Qīnghăi Shĕng",378439,
231,"Ānkāng Shì, Shănxī Shĕng",2629906,
232,"Băojī Shì, Shănxī Shĕng",3716737,
233,"Hànzhōng Shì, Shănxī Shĕng",3416196,
234,"Shāngluò Shì, Shănxī Shĕng",2341742,
235,"Tóngchuān Shì, Shănxī Shĕng",834437,
236,"Wèinán Shì, Shănxī Shĕng",5286077,
237,"Xī'ān Shì, Shănxī Shĕng",8467838,
238,"Xiányáng Shì, Shănxī Shĕng",5096001,
239,"Yán'ān Shì, Shănxī Shĕng",2187009,
240,"Yúlín Shì, Shănxī Shĕng",3351436,
241,"Bīnzhōu Shì, Shāndōng Shĕng",3748474,
242,"Dézhōu Shì, Shāndōng Shĕng",5568235,
243,"Dōngyíng Shì, Shāndōng Shĕng",2035338,
244,"Hézé Shì, Shāndōng Shĕng",8287693,
245,"Jìnán Shì, Shāndōng Shĕng",6813984,
246,"Jìníng Shì, Shāndōng Shĕng",8081905,
247,"Láiwú Shì, Shāndōng Shĕng",1298529,
248,"Liáochéng Shì, Shāndōng Shĕng",5789863,
249,"Línyí Shì, Shāndōng Shĕng",10039440,
250,"Qīngdăo Shì, Shāndōng Shĕng",8715087,
251,"Rìzhào Shì, Shāndōng Shĕng",2801013,
252,"Tài'ān Shì, Shāndōng Shĕng",5494207,
253,"Wéifāng Shì, Shāndōng Shĕng",9086241,
254,"Wēihăi Shì, Shāndōng Shĕng",2804771,
255,"Yāntái Shì, Shāndōng Shĕng",6968202,
256,"Zăozhuāng Shì, Shāndōng Shĕng",3729140,
257,"Zībó Shì, Shāndōng Shĕng",4530597,
258,"Shànghăi Shì, Shànghăi Shì",23019196,
259,"Chángzhì Shì, Shānxī Shĕng",3334565,
260,"Dàtóng Shì, Shānxī Shĕng",3318054,
261,"Jìnchéng Shì, Shānxī Shĕng",2279146,
262,"Jìnzhōng Shì, Shānxī Shĕng",3249425,
263,"Línfén Shì, Shānxī Shĕng",4316610,
264,"Lǚliáng Shì, Shānxī Shĕng",3727068,
265,"Shuòzhōu Shì, Shānxī Shĕng",1714857,
266,"Tàiyuán Shì, Shānxī Shĕng",4201592,
267,"Xīnzhōu Shì, Shānxī Shĕng",3067503,
268,"Yángquán Shì, Shānxī Shĕng",1368502,
269,"Yùnchéng Shì, Shānxī Shĕng",5134779,
270,"Ābà Zàngzú Qiāngzú Zìzhìzhōu, Sìchuān Shĕng",898708,
271,"Bāzhōng Shì, Sìchuān Shĕng",3283148,
272,"Chéngdū Shì, Sìchuān Shĕng",14047625,
273,"Dázhōu Shì, Sìchuān Shĕng",5468097,
274,"Déyáng Shì, Sìchuān Shĕng",3615758,
275,"Gānzī Zàngzú Zìzhìzhōu, Sìchuān Shĕng",1091872,
276,"Guăng'ān Shì, Sìchuān Shĕng",3205476,
277,"Guăngyuán Shì, Sìchuān Shĕng",2484122,
278,"Lèshān Shì, Sìchuān Shĕng",3235759,
279,"Liángshān Yízú Zìzhìzhōu, Sìchuān Shĕng",4532809,
280,"Lúzhōu Shì, Sìchuān Shĕng",4218427,
281,"Méishān Shì, Sìchuān Shĕng",2950545,
282,"Miányáng Shì, Sìchuān Shĕng",4613871,
283,"Nánchōng Shì, Sìchuān Shĕng",6278614,
284,"Nèijiāng Shì, Sìchuān Shĕng",3702847,
285,"Pānzhīhuā Shì, Sìchuān Shĕng",1214121,
286,"Suìníng Shì, Sìchuān Shĕng",3252619,
287,"Yă'ān Shì, Sìchuān Shĕng",1507258,
288,"Yíbīn Shì, Sìchuān Shĕng",4471896,
289,"Zìgòng Shì, Sìchuān Shĕng",2678899,
290,"Zīyáng Shì, Sìchuān Shĕng",3665057,
291,"Tiānjīn Shì, Tiānjīn Shì",12938693,
292,"Ākèsū Dìqū, Xīnjiāng Wéiwú'ĕr Zìzhìqū",2370809,
293,"Ālètài Dìqū, Xīnjiāng Wéiwú'ĕr Zìzhìqū",603283,atomawashi
294,"Bāyīnguōléng Mĕnggŭ Zìzhìzhōu, Xīnjiāng Wéiwú'ĕr Zìzhìqū",1278486,atomawashi
295,"Bó'ĕrtălā Mĕnggŭ Zìzhìzhōu, Xīnjiāng Wéiwú'ĕr Zìzhìqū",443680,
296,"Chāngjí Huízú Zìzhìzhōu, Xīnjiāng Wéiwú'ĕr Zìzhìqū",1428587,atomawashi
297,"Hāmì Dìqū, Xīnjiāng Wéiwú'ĕr Zìzhìqū",572400,
298,"Hétián Dìqū, Xīnjiāng Wéiwú'ĕr Zìzhìqū",2014362,
299,"Kāshí Dìqū, Xīnjiāng Wéiwú'ĕr Zìzhìqū",3979321,
300,"Kèlāmăyī Shì, Xīnjiāng Wéiwú'ĕr Zìzhìqū",391008,atomawashi
301,"Kèzīlèsū Kē'ĕrkèzī Zìzhìzhōu, Xīnjiāng Wéiwú'ĕr Zìzhìqū",525570,atomawashi
302,"Tăchéng Dìqū, Xīnjiāng Wéiwú'ĕr Zìzhìqū",1219369,
303,"Tŭlŭfān Dìqū, Xīnjiāng Wéiwú'ĕr Zìzhìqū",622903,
304,"Wūlŭmùqí Shì, Xīnjiāng Wéiwú'ĕr Zìzhìqū",3112559,atomawashi
305,"Yīlí Hāsàkè Zìzhìzhōu, Xīnjiāng Wéiwú'ĕr Zìzhìqū",2482592,
306,"Zìzhìqū Zhíxiáxiàn Jíxíngzhèng Qūhuà, Xīnjiāng Wéiwú'ĕr Zìzhìqū",770886,atomawashi
307,"Ālĭ Dìqū, Xīzàng Zìzhìqū",95465,
308,"Chāngdū Dìqū, Xīzàng Zìzhìqū",657505,
309,"Lāsà Shì, Xīzàng Zìzhìqū",559423,
310,"Línzhī Dìqū, Xīzàng Zìzhìqū",195109,atomawashi
311,"Nàqŭ Dìqū, Xīzàng Zìzhìqū",462381,
312,"Rìkāzé Dìqū, Xīzàng Zìzhìqū",703292,
313,"Shānnán Dìqū, Xīzàng Zìzhìqū",328990,
314,"Băoshān Shì, Yúnnán Shĕng",2506491,
315,"Chŭxióng Yízú Zìzhìzhōu, Yúnnán Shĕng",2684169,
316,"Dàlĭ Báizú Zìzhìzhōu, Yúnnán Shĕng",3456323,
317,"Déhóng Dăizú Jĭngpōzú Zìzhìzhōu, Yúnnán Shĕng",1211440,
318,"Díqìng Zàngzú Zìzhìzhōu, Yúnnán Shĕng",400182,
319,"Hónghé Hānízú Yízú Zìzhìzhōu, Yúnnán Shĕng",4500896,
320,"Kūnmíng Shì, Yúnnán Shĕng",6432209,
321,"Lìjiāng Shì, Yúnnán Shĕng",1244769,
322,"Líncāng Shì, Yúnnán Shĕng",2429497,
323,"Nùjiāng Lìsùzú Zìzhìzhōu, Yúnnán Shĕng",534337,
324,"Pŭ'ĕr Shì, Yúnnán Shĕng",2542898,
325,"Qŭjìng Shì, Yúnnán Shĕng",5855055,
326,"Wénshān Zhuàngzú Miáozú Zìzhìzhōu, Yúnnán Shĕng",3517946,
327,"Xīshuāngbănnà Dăizú Zìzhìzhōu, Yúnnán Shĕng",1133515,
328,"Yùxī Shì, Yúnnán Shĕng",2303518,
329,"Zhāotōng Shì, Yúnnán Shĕng",5213521,
330,"Hángzhōu Shì, Zhèjiāng Shĕng",8700373,
