Name,Status,"Population
Census
1990-04-01","Population
Census
2000-04-01","Population
Census
2010-04-01","Population
Estimate
2014-07-01"
Honolulu,County,836231,876159,953207,991788
Kalawao,County,130,147,90,89
Kauai,County,51177,58460,67090,70475
Maui,County,100374,128090,154835,163019
Idaho,Federal State,1006734,1293957,1567652,1634464
Ada,County,205775,300953,392365,426236
Adams,County,3254,3483,3976,3861
Bannock,County,66026,75562,82839,83347
Bear Lake,County,6084,6418,5986,5957
Benewah,County,7937,9169,9285,9118
Bingham,County,37583,41737,45607,45269
Blaine,County,13552,18994,21378,21482
Boise,County,3509,6644,7028,6824
Bonner,County,26622,36809,40877,41585
Bonneville,County,72207,82545,104304,108623
Boundary,County,8332,9880,10972,10979
Butte,County,2918,2897,2893,2622
Camas,County,727,981,1117,1039
Canyon,County,90076,131452,188923,203143
Caribou,County,6963,7296,6963,6837
Cassia,County,19532,21399,22958,23540
Clark,County,762,1022,982,867
Clearwater,County,8505,8928,8761,8562
Custer,County,4133,4340,4366,4140
Elmore,County,21205,29116,27038,26094
Franklin,County,9232,11333,12786,13021
Fremont,County,10937,11813,13242,12867
Gem,County,11844,15179,16719,16866
Gooding,County,11633,14150,15464,15064
Idaho,County,13768,15506,16267,16215
Jefferson,County,16543,19117,26140,27021
Jerome,County,15138,18401,22374,22818
Kootenai,County,69795,108682,138494,147326
Latah,County,30617,34925,37244,38411
Lemhi,County,6899,7798,7936,7726
Lewis,County,3516,3744,3821,3838
Lincoln,County,3308,4050,5206,5316
Madison,County,23674,27491,37536,38038
Minidoka,County,19361,20155,20063,20323
Nez Perce,County,33754,37418,39265,40007
Oneida,County,3492,4125,4286,4184
Owyhee,County,8392,10644,11526,11353
Payette,County,16434,20584,22623,22836
Power,County,7086,7542,7817,7617
Shoshone,County,13931,13763,12765,12390
Teton,County,3439,6006,10170,10341
Twin Falls,County,53580,64286,77230,80914
Valley,County,6109,7637,9862,9826
Washington,County,8550,9983,10198,10021
Illinois,Federal State,11430602,12419927,12831587,12880580
Adams,County,66090,68261,67103,66988
Alexander,County,10626,9583,8238,7492
Bond,County,14991,17636,17768,17269
Boone,County,30806,41788,54167,53869
Brown,County,5836,6952,6937,6832
Bureau,County,35688,35496,34978,33840
Calhoun,County,5322,5079,5089,4956
Carroll,County,16805,16671,15388,14715
Cass,County,13437,13691,13638,13156
Champaign,County,173025,179687,201081,207133
Christian,County,34418,35380,34800,33892
Clark,County,15921,16995,16335,16180
Clay,County,14460,14417,13815,13520
Clinton,County,33944,35536,37762,37857
Coles,County,51644,53210,53873,53320
Cook,County,5105044,5376741,5195060,5246456
Crawford,County,19464,20460,19817,19393
Cumberland,County,10670,11311,11048,10833
DeKalb,County,77932,88941,105160,105462
De Witt (DeWitt),County,16516,16802,16561,16284
Douglas,County,19464,19909,19982,19889
DuPage,County,781689,904594,916896,932708
Edgar,County,19595,19643,18576,17841
Edwards,County,7440,6978,6721,6617
Effingham,County,31704,34267,34242,34320
Fayette,County,20893,21810,22142,21870
Ford,County,14275,14227,14081,13688
Franklin,County,40319,39021,39989,39411
Fulton,County,38080,38244,37069,36007
Gallatin,County,6909,6426,5589,5291
Greene,County,15317,14766,13886,13434
Grundy,County,32337,37528,50063,50425
Hamilton,County,8499,8613,8457,8296
Hancock,County,21373,20171,19104,18564
Hardin,County,5189,4793,4320,4129
Henderson,County,8096,8176,7328,6916
Henry,County,51159,51032,50485,49635
Iroquois,County,30787,31340,29718,28879
Jackson,County,61067,59607,60218,59677
Jasper,County,10609,10113,9698,9623
Jefferson,County,37020,40051,38825,38534
Jersey,County,20539,21649,22985,22571
Jo Daviess,County,21821,22296,22677,22254
Johnson,County,11347,12877,12582,12601
Kane,County,317471,404508,515302,527306
Kankakee,County,96255,103825,113449,111375
Kendall,County,39413,54539,114735,121350
Knox,County,56393,55842,52919,52069
Lake,County,516418,644682,703409,705186
LaSalle,County,106913,111599,113922,111241
Lawrence,County,15972,15449,16903,16519
Lee,County,34392,36062,36031,34735
Livingston,County,39301,39734,38950,37903
Logan,County,30798,31199,30305,29746
Macon,County,117206,114690,110768,108350
Macoupin,County,47679,49008,47765,46453
Madison,County,249238,259019,269328,266560
Marion,County,41561,41678,39437,38571
Marshall,County,12846,13159,12640,12014
Mason,County,16269,16034,14666,13898
Massac,County,14752,15163,15429,14905
McDonough,County,35244,32906,32612,31880
McHenry,County,183241,259524,308826,307283
McLean,County,129180,150384,169572,174061
Menard,County,11164,12483,12705,12570
Mercer,County,17290,16940,16434,15945
Monroe,County,22422,27625,32957,33722
Montgomery,County,30728,30646,30104,29359
Morgan,County,36397,36627,35551,34929
Moultrie,County,13930,14288,14846,14837
Ogle,County,45957,51001,53497,52085
Peoria,County,182827,183466,186494,187319
Perry,County,21412,23091,22350,21672
Piatt,County,15548,16385,16727,16431
Pike,County,17577,17362,16430,16022
Pope,County,4373,4397,4470,4276
Pulaski,County,7523,7333,6161,5815
Putnam,County,5730,6077,6006,5814
Randolph,County,34583,33897,33476,32869
Richland,County,16545,16291,16233,16061
Rock Island,County,148723,149390,147546,146063
Saline,County,26551,26752,24913,24612
Sangamon,County,178386,188974,197465,198997
Schuyler,County,7498,7181,7544,7330
Scott,County,5644,5539,5355,5204
Shelby,County,22261,22884,22363,22048
Stark,County,6534,6330,5994,5813
St. Clair,County,262852,256043,270063,265729
Stephenson,County,48052,48995,47711,46435
Tazewell,County,123692,128465,135394,135707
Union,County,17619,18311,17808,17447
Vermilion,County,88257,83929,81625,79728
Wabash,County,13111,12932,11947,11549
Warren,County,19181,18736,17710,17874
Washington,County,14965,15150,14716,14337
Wayne,County,17241,17149,16760,16543
